date,zip,percentageOrCountOfCases,probableCases,percentageOfPopulationOfZipCode,confirmedCasesInLastTwoWeeks
2020-04-05T20:54:57.732Z,48103,12%,null,null,
2020-04-05T20:54:57.732Z,48104,10%,null,null,
2020-04-05T20:54:57.732Z,48105,9%,null,null,
2020-04-05T20:54:57.732Z,48108,7%,null,null,
2020-04-05T20:54:57.732Z,48118,2%,null,null,
2020-04-05T20:54:57.732Z,48130,2%,null,null,
2020-04-05T20:54:57.732Z,48158,1%,null,null,
2020-04-05T20:54:57.732Z,48160,<1%,null,null,
2020-04-05T20:54:57.732Z,48167,<1%,null,null,
2020-04-05T20:54:57.732Z,48168,<1%,null,null,
2020-04-05T20:54:57.732Z,48170,1%,null,null,
2020-04-05T20:54:57.732Z,48176,6%,null,null,
2020-04-05T20:54:57.732Z,48178,<1%,null,null,
2020-04-05T20:54:57.732Z,48189,1%,null,null,
2020-04-05T20:54:57.732Z,48190/48191,2%,null,null,
2020-04-05T20:54:57.732Z,48197,26%,null,null,
2020-04-05T20:54:57.732Z,48198,19%,null,null,
2020-04-05T20:54:57.732Z,49236,<1%,null,null,
2020-04-06T04:00:00.000Z,48103,12%,null,null,
2020-04-06T04:00:00.000Z,48104,10%,null,null,
2020-04-06T04:00:00.000Z,48105,9%,null,null,
2020-04-06T04:00:00.000Z,48108,8%,null,null,
2020-04-06T04:00:00.000Z,48118,2%,null,null,
2020-04-06T04:00:00.000Z,48130,2%,null,null,
2020-04-06T04:00:00.000Z,48158,1%,null,null,
2020-04-06T04:00:00.000Z,48160,<1%,null,null,
2020-04-06T04:00:00.000Z,48167,<1%,null,null,
2020-04-06T04:00:00.000Z,48168,<1%,null,null,
2020-04-06T04:00:00.000Z,48170,1%,null,null,
2020-04-06T04:00:00.000Z,48176,6%,null,null,
2020-04-06T04:00:00.000Z,48178,<1%,null,null,
2020-04-06T04:00:00.000Z,48189,1%,null,null,
2020-04-06T04:00:00.000Z,48190/48191,2%,null,null,
2020-04-06T04:00:00.000Z,48197,26%,null,null,
2020-04-06T04:00:00.000Z,48198,19%,null,null,
2020-04-06T04:00:00.000Z,49236,<1%,null,null,
2020-04-08T04:00:00.000Z,UNKNOWN,0,null,null,
2020-04-08T04:00:00.000Z,48103,72,null,null,
2020-04-08T04:00:00.000Z,48104,58,null,null,
2020-04-08T04:00:00.000Z,48105,56,null,null,
2020-04-08T04:00:00.000Z,48106,1,null,null,
2020-04-08T04:00:00.000Z,48108,48,null,null,
2020-04-08T04:00:00.000Z,48109,3,null,null,
2020-04-08T04:00:00.000Z,48118,10,null,null,
2020-04-08T04:00:00.000Z,48130,10,null,null,
2020-04-08T04:00:00.000Z,48137,2,null,null,
2020-04-08T04:00:00.000Z,48158,5,null,null,
2020-04-08T04:00:00.000Z,48160,2,null,null,
2020-04-08T04:00:00.000Z,48167,3,null,null,
2020-04-08T04:00:00.000Z,48168,3,null,null,
2020-04-08T04:00:00.000Z,48170,6,null,null,
2020-04-08T04:00:00.000Z,48175,1,null,null,
2020-04-08T04:00:00.000Z,48176,34,null,null,
2020-04-08T04:00:00.000Z,48178,4,null,null,
2020-04-08T04:00:00.000Z,48189,5,null,null,
2020-04-08T04:00:00.000Z,48190,3,null,null,
2020-04-08T04:00:00.000Z,48191,7,null,null,
2020-04-08T04:00:00.000Z,48197,153,null,null,
2020-04-08T04:00:00.000Z,48198,114,null,null,
2020-04-08T04:00:00.000Z,49236,1,null,null,
2020-04-08T04:00:00.000Z,48169,0,null,null,
2020-04-08T04:00:00.000Z,49285,0,null,null,
2020-04-08T04:00:00.000Z,49240,0,null,null,
2020-04-08T04:00:00.000Z,49287,0,null,null,
2020-04-08T04:00:00.000Z,48111,0,null,null,
2020-04-09T04:00:00.000Z,UNKNOWN,0,null,null,
2020-04-09T04:00:00.000Z,48103,75,null,null,
2020-04-09T04:00:00.000Z,48104,59,null,null,
2020-04-09T04:00:00.000Z,48105,57,null,null,
2020-04-09T04:00:00.000Z,48106,1,null,null,
2020-04-09T04:00:00.000Z,48108,48,null,null,
2020-04-09T04:00:00.000Z,48109,3,null,null,
2020-04-09T04:00:00.000Z,48118,17,null,null,
2020-04-09T04:00:00.000Z,48130,12,null,null,
2020-04-09T04:00:00.000Z,48137,2,null,null,
2020-04-09T04:00:00.000Z,48158,5,null,null,
2020-04-09T04:00:00.000Z,48160,2,null,null,
2020-04-09T04:00:00.000Z,48167,3,null,null,
2020-04-09T04:00:00.000Z,48168,3,null,null,
2020-04-09T04:00:00.000Z,48170,6,null,null,
2020-04-09T04:00:00.000Z,48175,1,null,null,
2020-04-09T04:00:00.000Z,48176,36,null,null,
2020-04-09T04:00:00.000Z,48178,4,null,null,
2020-04-09T04:00:00.000Z,48189,7,null,null,
2020-04-09T04:00:00.000Z,48190,3,null,null,
2020-04-09T04:00:00.000Z,48191,8,null,null,
2020-04-09T04:00:00.000Z,48197,163,null,null,
2020-04-09T04:00:00.000Z,48198,124,null,null,
2020-04-09T04:00:00.000Z,49236,1,null,null,
2020-04-09T04:00:00.000Z,48169,0,null,null,
2020-04-09T04:00:00.000Z,49285,0,null,null,
2020-04-09T04:00:00.000Z,49240,0,null,null,
2020-04-09T04:00:00.000Z,49287,0,null,null,
2020-04-09T04:00:00.000Z,48111,0,null,null,
2020-04-10T04:00:00.000Z,49287,0,null,null,
2020-04-10T04:00:00.000Z,49285,0,null,null,
2020-04-10T04:00:00.000Z,48167,3,null,null,
2020-04-10T04:00:00.000Z,48109,4,null,null,
2020-04-10T04:00:00.000Z,48168,4,null,null,
2020-04-10T04:00:00.000Z,48191,11,null,null,
2020-04-10T04:00:00.000Z,48111,0,null,null,
2020-04-10T04:00:00.000Z,48170,7,null,null,
2020-04-10T04:00:00.000Z,48169,0,null,null,
2020-04-10T04:00:00.000Z,48104,62,null,null,
2020-04-10T04:00:00.000Z,48137,2,null,null,
2020-04-10T04:00:00.000Z,48178,4,null,null,
2020-04-10T04:00:00.000Z,48198,132,null,null,
2020-04-10T04:00:00.000Z,49240,0,null,null,
2020-04-10T04:00:00.000Z,49236,1,null,null,
2020-04-10T04:00:00.000Z,48108,49,null,null,
2020-04-10T04:00:00.000Z,48160,3,null,null,
2020-04-10T04:00:00.000Z,48189,6,null,null,
2020-04-10T04:00:00.000Z,48197,170,null,null,
2020-04-10T04:00:00.000Z,48130,13,null,null,
2020-04-10T04:00:00.000Z,48176,37,null,null,
2020-04-10T04:00:00.000Z,48103,75,null,null,
2020-04-10T04:00:00.000Z,48158,5,null,null,
2020-04-10T04:00:00.000Z,48105,60,null,null,
2020-04-10T04:00:00.000Z,48118,17,null,null,
2020-04-11T04:00:00.000Z,49287,0,null,null,
2020-04-11T04:00:00.000Z,49285,0,null,null,
2020-04-11T04:00:00.000Z,48167,3,null,null,
2020-04-11T04:00:00.000Z,48109,4,null,null,
2020-04-11T04:00:00.000Z,48168,4,null,null,
2020-04-11T04:00:00.000Z,48191,11,null,null,
2020-04-11T04:00:00.000Z,48111,0,null,null,
2020-04-11T04:00:00.000Z,48170,7,null,null,
2020-04-11T04:00:00.000Z,48169,0,null,null,
2020-04-11T04:00:00.000Z,48104,62,null,null,
2020-04-11T04:00:00.000Z,48137,2,null,null,
2020-04-11T04:00:00.000Z,48178,3,null,null,
2020-04-11T04:00:00.000Z,48198,137,null,null,
2020-04-11T04:00:00.000Z,49240,0,null,null,
2020-04-11T04:00:00.000Z,49236,1,null,null,
2020-04-11T04:00:00.000Z,48108,51,null,null,
2020-04-11T04:00:00.000Z,48160,3,null,null,
2020-04-11T04:00:00.000Z,48189,6,null,null,
2020-04-11T04:00:00.000Z,48197,179,null,null,
2020-04-11T04:00:00.000Z,48130,15,null,null,
2020-04-11T04:00:00.000Z,48176,38,null,null,
2020-04-11T04:00:00.000Z,48103,77,null,null,
2020-04-11T04:00:00.000Z,48158,5,null,null,
2020-04-11T04:00:00.000Z,48105,62,null,null,
2020-04-11T04:00:00.000Z,48118,17,null,null,
2020-04-13T04:00:00.000Z,49287,0,null,null,
2020-04-13T04:00:00.000Z,49285,0,null,null,
2020-04-13T04:00:00.000Z,48167,3,null,null,
2020-04-13T04:00:00.000Z,48109,4,null,null,
2020-04-13T04:00:00.000Z,48168,4,null,null,
2020-04-13T04:00:00.000Z,48191,13,null,null,
2020-04-13T04:00:00.000Z,48111,0,null,null,
2020-04-13T04:00:00.000Z,48170,7,null,null,
2020-04-13T04:00:00.000Z,48169,0,null,null,
2020-04-13T04:00:00.000Z,48104,65,null,null,
2020-04-13T04:00:00.000Z,48137,2,null,null,
2020-04-13T04:00:00.000Z,48178,3,null,null,
2020-04-13T04:00:00.000Z,48198,147,null,null,
2020-04-13T04:00:00.000Z,49240,0,null,null,
2020-04-13T04:00:00.000Z,49236,1,null,null,
2020-04-13T04:00:00.000Z,48108,52,null,null,
2020-04-13T04:00:00.000Z,48160,5,null,null,
2020-04-13T04:00:00.000Z,48189,6,null,null,
2020-04-13T04:00:00.000Z,48197,192,null,null,
2020-04-13T04:00:00.000Z,48130,19,null,null,
2020-04-13T04:00:00.000Z,48176,45,null,null,
2020-04-13T04:00:00.000Z,48103,81,null,null,
2020-04-13T04:00:00.000Z,48158,5,null,null,
2020-04-13T04:00:00.000Z,48105,62,null,null,
2020-04-13T04:00:00.000Z,48118,17,null,null,
2020-04-14T04:00:00.000Z,49287,0,null,null,
2020-04-14T04:00:00.000Z,49285,0,null,null,
2020-04-14T04:00:00.000Z,48167,4,null,null,
2020-04-14T04:00:00.000Z,48109,4,null,null,
2020-04-14T04:00:00.000Z,48168,3,null,null,
2020-04-14T04:00:00.000Z,48191,15,null,null,
2020-04-14T04:00:00.000Z,48111,0,null,null,
2020-04-14T04:00:00.000Z,48170,7,null,null,
2020-04-14T04:00:00.000Z,48169,0,null,null,
2020-04-14T04:00:00.000Z,48104,66,null,null,
2020-04-14T04:00:00.000Z,48137,2,null,null,
2020-04-14T04:00:00.000Z,48178,3,null,null,
2020-04-14T04:00:00.000Z,48198,155,null,null,
2020-04-14T04:00:00.000Z,49240,0,null,null,
2020-04-14T04:00:00.000Z,49236,1,null,null,
2020-04-14T04:00:00.000Z,48108,56,null,null,
2020-04-14T04:00:00.000Z,48160,5,null,null,
2020-04-14T04:00:00.000Z,48189,6,null,null,
2020-04-14T04:00:00.000Z,48197,198,null,null,
2020-04-14T04:00:00.000Z,48130,22,null,null,
2020-04-14T04:00:00.000Z,48176,46,null,null,
2020-04-14T04:00:00.000Z,48103,81,null,null,
2020-04-14T04:00:00.000Z,48158,5,null,null,
2020-04-14T04:00:00.000Z,48105,66,null,null,
2020-04-14T04:00:00.000Z,48118,20,null,null,
2020-04-15T04:00:00.000Z,48103,85,null,0.15%,
2020-04-15T04:00:00.000Z,48104,67,null,0.16%,
2020-04-15T04:00:00.000Z,48105,66,null,0.18%,
2020-04-15T04:00:00.000Z,48108,56,null,0.20%,
2020-04-15T04:00:00.000Z,48118,25,null,0.19%,
2020-04-15T04:00:00.000Z,48130,24,null,0.15%,
2020-04-15T04:00:00.000Z,48137,2,null,0.14%,
2020-04-15T04:00:00.000Z,48158,6,null,0.08%,
2020-04-15T04:00:00.000Z,48160,5,null,0.05%,
2020-04-15T04:00:00.000Z,48167,4,null,0.27%,
2020-04-15T04:00:00.000Z,48168,4,null,0.28%,
2020-04-15T04:00:00.000Z,48170,7,null,0.34%,
2020-04-15T04:00:00.000Z,48176,46,null,0.20%,
2020-04-15T04:00:00.000Z,48178,3,null,0.13%,
2020-04-15T04:00:00.000Z,48189,7,null,0.09%,
2020-04-15T04:00:00.000Z,48190/48191,15,null,0.36%,
2020-04-15T04:00:00.000Z,48197,209,null,0.32%,
2020-04-15T04:00:00.000Z,48198,165,null,0.41%,
2020-04-15T04:00:00.000Z,49236,1,null,0.15%,
2020-04-16T04:00:00.000Z,48103,88,null,0.16%,
2020-04-16T04:00:00.000Z,48104,67,null,0.16%,
2020-04-16T04:00:00.000Z,48105,67,null,0.19%,
2020-04-16T04:00:00.000Z,48108,58,null,0.21%,
2020-04-16T04:00:00.000Z,48118,27,null,0.20%,
2020-04-16T04:00:00.000Z,48130,24,null,0.15%,
2020-04-16T04:00:00.000Z,48137,2,null,0.14%,
2020-04-16T04:00:00.000Z,48158,6,null,0.08%,
2020-04-16T04:00:00.000Z,48160,9,null,0.09%,
2020-04-16T04:00:00.000Z,48167,4,null,0.27%,
